,Year,Month,Country,Hemisphere,Activity,Type_Norm,Sex,Age,Species,Fatal,YearRange
0,2018,6,USA,Northern,Surfing,Unprovoked,F,57,White Shark,0,2010
1,2018,6,USA,Northern,Other,Unprovoked,F,11,Unidentified,0,2010
2,2018,6,USA,Northern,Surfing,Unprovoked,M,48,Unidentified,0,2010
3,2018,6,BRAZIL,Southern,Swimming,Unprovoked,M,18,Tiger Shark,1,2010
4,2018,5,USA,Northern,Fishing,Unprovoked,M,52,Nurse Shark,0,2010
5,2018,5,USA,Northern,Other,Unprovoked,M,15,Bull Shark,0,2010
6,2018,5,USA,Northern,Other,Unprovoked,M,12,Unidentified,0,2010
7,2018,5,AUSTRALIA,Southern,Other,Provoked,M,32,Unidentified,0,2010
8,2018,5,USA,Northern,Swimming,Unprovoked,M,10,Unidentified,0,2010
9,2018,5,OTHER,Northern,Fishing,Unprovoked,M,21,Unidentified,0,2010
10,2018,5,AUSTRALIA,Southern,Other,Provoked,F,34,Nurse Shark,0,2010
11,2018,5,AUSTRALIA,Southern,Surfing,Unprovoked,M,0,Unidentified,0,2010
12,2018,4,OTHER,Northern,Diving,Unprovoked,M,30,Tiger Shark,0,2010
13,2018,4,AUSTRALIA,Southern,Surfing,Unprovoked,M,0,Unidentified,0,2010
14,2018,4,AUSTRALIA,Southern,Surfing,Unprovoked,M,60,Unidentified,0,2010
15,2018,4,AUSTRALIA,Southern,Surfing,Unprovoked,M,0,White Shark,0,2010
16,2018,4,OTHER,Northern,Fishing,Unprovoked,M,32,Tiger Shark,0,2010
17,2018,4,SOUTH AFRICA,Southern,Surfing,Unprovoked,M,33,White Shark,0,2010
18,2018,4,USA,Northern,Surfing,Unprovoked,M,29,Unidentified,0,2010
19,2018,4,OTHER,Northern,Swimming,Unprovoked,M,54,Bull Shark,0,2010
20,2018,4,AUSTRALIA,Southern,Surfing,Unprovoked,M,37,Unidentified,0,2010
21,2018,4,BAHAMAS,Northern,Surfing,Unprovoked,M,0,Tiger Shark,0,2010
22,2018,4,BRAZIL,Southern,Fishing,Unprovoked,M,56,Unidentified,0,2010
23,2018,4,BAHAMAS,Northern,Swimming,Unprovoked,M,12,Bull Shark,0,2010
24,2018,4,SOUTH AFRICA,Southern,Surfing,Unprovoked,M,19,White Shark,0,2010
25,2018,3,USA,Northern,Surfing,Unprovoked,M,25,Tiger Shark,0,2010
26,2018,3,AUSTRALIA,Southern,Other,Unprovoked,M,10,Unidentified,0,2010
27,2018,3,AUSTRALIA,Southern,Swimming,Unprovoked,M,69,Unidentified,0,2010
28,2018,3,AUSTRALIA,Southern,Surfing,Unprovoked,M,18,Unidentified,0,2010
29,2018,2,SOUTH AFRICA,Southern,Diving,Unprovoked,M,38,Blacktip reef Shark,0,2010
30,2018,2,AUSTRALIA,Southern,Swimming,Unprovoked,F,55,White Shark,0,2010
31,2018,2,AUSTRALIA,Southern,Other,Provoked,M,34,Unidentified,0,2010
32,2018,2,AUSTRALIA,Southern,Other,Unprovoked,M,35,Bull Shark,0,2010
33,2018,2,AUSTRALIA,Southern,Swimming,Unprovoked,F,0,Unidentified,0,2010
34,2018,2,BRAZIL,Southern,Fishing,Unprovoked,F,46,Unidentified,0,2010
35,2018,2,OTHER,Northern,Other,Unprovoked,M,45,Unidentified,0,2010
36,2018,2,AUSTRALIA,Southern,Other,Unprovoked,M,14,Unidentified,0,2010
37,2018,1,AUSTRALIA,Southern,Other,Unprovoked,M,18,Bull Shark,0,2010
38,2018,1,OTHER,Northern,Other,Unprovoked,M,0,Bull Shark,0,2010
39,2018,1,AUSTRALIA,Southern,Diving,Unprovoked,M,0,Unidentified,0,2010
40,2018,1,AUSTRALIA,Southern,Diving,Unprovoked,M,28,White Shark,0,2010
41,2018,1,BRAZIL,Southern,Surfing,Unprovoked,M,20,Unidentified,0,2010
42,2017,12,USA,Northern,Surfing,Unprovoked,F,54,Tiger Shark,0,2010
43,2017,12,USA,Northern,Surfing,Unprovoked,F,35,Unidentified,0,2010
44,2017,12,OTHER,Northern,Fishing,Provoked,M,24,Nurse Shark,0,2010
45,2017,11,OTHER,Northern,Diving,Unprovoked,M,26,Tiger Shark,0,2010
46,2017,11,OTHER,Northern,Diving,Unprovoked,F,49,Tiger Shark,1,2010
47,2017,11,USA,Northern,Other,Unprovoked,M,25,White Shark,0,2010
48,2017,11,USA,Northern,Surfing,Unprovoked,F,14,Unidentified,0,2010
49,2017,11,AUSTRALIA,Southern,Surfing,Unprovoked,M,25,Unidentified,0,2010
50,2017,11,OTHER,Northern,Other,Unprovoked,M,22,Tiger Shark,1,2010
51,2017,10,AUSTRALIA,Southern,Other,Unprovoked,M,7,Unidentified,0,2010
52,2017,10,AUSTRALIA,Southern,Surfing,Unprovoked,M,31,Unidentified,0,2010
53,2017,10,USA,Northern,Surfing,Unprovoked,M,17,Unidentified,0,2010
54,2017,10,USA,Northern,Swimming,Unprovoked,F,60,Unidentified,0,2010
55,2017,10,AUSTRALIA,Southern,Other,Unprovoked,F,15,White Shark,0,2010
56,2017,10,NEW ZEALAND,Southern,Other,Unprovoked,M,0,Unidentified,0,2010
57,2017,10,USA,Northern,Swimming,Unprovoked,M,0,Spinner Shark,0,2010
58,2017,10,USA,Northern,Surfing,Unprovoked,M,54,Tiger Shark,0,2010
59,2017,10,USA,Northern,Other,Unprovoked,F,40,Unidentified,0,2010
60,2017,9,USA,Northern,Surfing,Unprovoked,M,0,Unidentified,0,2010
61,2017,9,AUSTRALIA,Southern,Surfing,Unprovoked,M,0,White Shark,0,2010
62,2017,9,USA,Northern,Surfing,Unprovoked,M,33,Unidentified,1,2010
63,2017,9,USA,Northern,Surfing,Unprovoked,M,0,Unidentified,0,2010
64,2017,9,OTHER,Northern,Surfing,Unprovoked,M,13,Unidentified,0,2010
65,2017,9,USA,Northern,Surfing,Unprovoked,M,28,Unidentified,0,2010
66,2017,9,USA,Northern,Surfing,Unprovoked,M,18,Unidentified,0,2010
67,2017,9,AUSTRALIA,Southern,Surfing,Unprovoked,M,35,White Shark,0,2010
68,2017,9,OTHER,Northern,Surfing,Unprovoked,M,42,Unidentified,0,2010
69,2017,9,USA,Northern,Surfing,Unprovoked,M,17,Unidentified,0,2010
70,2017,8,AUSTRALIA,Southern,Surfing,Unprovoked,M,37,White Shark,0,2010
71,2017,8,USA,Northern,Other,Unprovoked,F,3,Unidentified,0,2010
72,2017,8,OTHER,Northern,Swimming,Unprovoked,F,11,Unidentified,1,2010
73,2017,8,USA,Northern,Other,Unprovoked,M,69,White Shark,0,2010
74,2017,8,USA,Northern,Swimming,Unprovoked,M,13,Blacktip reef Shark,0,2010
75,2017,8,OTHER,Northern,Other,Unprovoked,F,20,White Shark,0,2010
76,2017,8,USA,Northern,Fishing,Provoked,M,34,Unidentified,0,2010
77,2017,8,USA,Northern,Other,Unprovoked,M,0,White Shark,0,2010
78,2017,7,USA,Northern,Surfing,Unprovoked,M,15,Unidentified,0,2010
79,2017,7,USA,Northern,Swimming,Unprovoked,M,10,Unidentified,1,2010
80,2017,7,OTHER,Northern,Surfing,Unprovoked,M,37,Unidentified,0,2010
81,2017,7,OTHER,Northern,Swimming,Unprovoked,F,0,Blue Shark,0,2010
82,2017,7,USA,Northern,Other,Unprovoked,F,40,Unidentified,0,2010
83,2017,7,USA,Northern,Other,Unprovoked,M,40,White Shark,0,2010
84,2017,7,USA,Northern,Other,Unprovoked,M,50,White Shark,0,2010
85,2017,7,USA,Northern,Surfing,Unprovoked,M,0,White Shark,0,2010
86,2017,7,USA,Northern,Other,Unprovoked,M,0,White Shark,0,2010
87,2017,7,USA,Northern,Swimming,Unprovoked,M,46,Bull Shark,0,2010
88,2017,7,MEXICO,Northern,Fishing,Provoked,M,32,Tiger Shark,0,2010
89,2017,7,SOUTH AFRICA,Southern,Surfing,Unprovoked,F,13,White Shark,0,2010
90,2017,6,USA,Northern,Swimming,Unprovoked,F,14,Bull Shark,0,2010
91,2017,6,REUNION,Southern,Surfing,Unprovoked,M,34,Bull Shark,0,2010
